no_invoice,tanggal,bulan,tahun,kategori,sub_kategori,kuantitas_terjual,harga_per_unit,total_sales
YM21-0084287,02-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,1,154000,154000
YM21-0084293,02-01-2021,Januari,2021,Kaca Spion,Spion Indo KVY Beat,2,34500,69000
YM21-0084293,02-01-2021,Januari,2021,Roller,BRT VARIO 125,1,76500,76500
YM21-0084293,02-01-2021,Januari,2021,Radiator,Radiator YMMT Vario 125,1,113500,113500
YM21-0084293,02-01-2021,Januari,2021,Busi,BUSI NGK BP7ES,1,167000,167000
YM21-0084300,03-01-2021,Januari,2021,Sakelar,Sakelar Retting,1,15000,15000
YM21-0084300,03-01-2021,Januari,2021,Velg,Velg Enkei,1,1522000,1522000
YM21-0084300,03-01-2021,Januari,2021,Kampas Rem,DPAD YGP 2BM,2,66000,132000
YM21-0084304,03-01-2021,Januari,2021,Aki,Aki Basah Yuasa YB5L-B,1,253000,253000
YM21-0084304,03-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,28000,28000
YM21-0084304,03-01-2021,Januari,2021,Filter Udara,Filter Udara AHM,1,60000,60000
YM21-0084306,03-01-2021,Januari,2021,Seal,Seal Kopling,40,5500,220000
YM21-0084306,03-01-2021,Januari,2021,Ban,BL Maxxis 80/90-14 VICTRA,7,238000,1666000
YM21-0084311,03-01-2021,Januari,2021,Dinamo,Dinamo ST indo KPH,1,162500,162500
YM21-0084314,03-01-2021,Januari,2021,V-Belt,V Belt set AHM KWN,1,151500,151500
YM21-0084319,03-01-2021,Januari,2021,Kampas Rem,Kampas Depan Supra X,2,49000,98000
YM21-0084319,03-01-2021,Januari,2021,Bearing,BRG AHM SET 6303 RS,2,55000,110000
YM21-0084325,04-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,2,12000,24000
YM21-0084325,04-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,1,31000,31000
YM21-0084325,04-01-2021,Januari,2021,Roller,BRT NMX,1,77000,77000
YM21-0084332,04-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,2,30500,61000
YM21-0084332,04-01-2021,Januari,2021,Bearing,BRG AHM SET 6301 RS,1,50000,50000
YM21-0084332,04-01-2021,Januari,2021,Sensor,Sensor CKP KOJ Genio,1,168500,168500
YM21-0084332,04-01-2021,Januari,2021,Oli,Motul GP MTC 4T,1,62500,62500
YM21-0084336,04-01-2021,Januari,2021,Gasket,Gasket full seat AHM Supra Fit,2,65000,130000
YM21-0084336,04-01-2021,Januari,2021,Oli,Mesran Super 4T 0.8 L,1,33500,33500
YM21-0084336,04-01-2021,Januari,2021,Piringan Cakram,Piringan DPN AHM Vario,1,54500,54500
YM21-0084336,04-01-2021,Januari,2021,Gear Rantai,Gear suprax 125 gear 39,1,242000,242000
YM21-0084338,04-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,29500,29500
YM21-0084340,04-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY MALOSSI,1,253000,253000
YM21-0084342,04-01-2021,Januari,2021,Roller,BRT Mio,1,69000,69000
YM21-0084346,04-01-2021,Januari,2021,Kampas Rem,DPAD BLK SUPRA,1,47500,47500
YM21-0084346,04-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,27500,27500
YM21-0084346,04-01-2021,Januari,2021,Bearing,BRG AHM SET 6204 RS,1,50500,50500
YM21-0084350,04-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,30000,30000
YM21-0084350,04-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,1,12500,12500
YM21-0084350,04-01-2021,Januari,2021,Hendel Rem,Hendel Rem KTC,1,910500,910500
YM21-0084356,05-01-2021,Januari,2021,Gasket,Gasket full seat AHM Supra Fit,2,65500,131000
YM21-0084361,05-01-2021,Januari,2021,Roller,BRT Mio,1,71500,71500
YM21-0084361,05-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,2,12000,24000
YM21-0084368,05-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14000,14000
YM21-0084368,05-01-2021,Januari,2021,Ban,BL Maxxis 120/70-12 VICTRA,1,407500,407500
YM21-0084374,05-01-2021,Januari,2021,Bearing,BRG AHM SET 6204 RS,2,49500,99000
YM21-0084374,05-01-2021,Januari,2021,Seal,Seal Pulau,2,7500,15000
YM21-0084378,05-01-2021,Januari,2021,Lampu,SGP Lampu Kepala depan,1,24500,24500
YM21-0084378,05-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,27500,27500
YM21-0084378,05-01-2021,Januari,2021,Sakelar,Sakelar Lampu,1,10500,10500
YM21-0084379,05-01-2021,Januari,2021,Rumah Roller,AHM K44 Scoopy,1,96000,96000
YM21-0084379,05-01-2021,Januari,2021,Hendel Rem,Hendel Rem Ori AHM,2,150500,301000
YM21-0084379,05-01-2021,Januari,2021,Filter Udara,Filter Udara Suzuki,1,49500,49500
YM21-0084381,05-01-2021,Januari,2021,Roller,BRT NMX,1,77000,77000
YM21-0084387,05-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14500,14500
YM21-0084391,06-01-2021,Januari,2021,Bearing,BRG AHM SET 6301 RS,2,50500,101000
YM21-0084391,06-01-2021,Januari,2021,Kaca Spion,Spion Vario WIN,2,45000,90000
YM21-0084393,06-01-2021,Januari,2021,Oli,Castrol Pro 2T,38,35000,1330000
YM21-0084393,06-01-2021,Januari,2021,Kampas Rem,Kampas Depan Supra X,10,50000,500000
YM21-0084397,06-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,2,12500,25000
YM21-0084397,06-01-2021,Januari,2021,V-Belt,V belt Only YGP B65 AEROX/NMX NEW,1,118000,118000
YM21-0084402,06-01-2021,Januari,2021,Seal,Seal Crankshaf,1,10000,10000
YM21-0084402,06-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,28000,28000
YM21-0084405,06-01-2021,Januari,2021,Oli,Evalube Matic 0.8 L,34,41000,1394000
YM21-0084405,06-01-2021,Januari,2021,Piringan Cakram,Piringan DPN AHM Scoopy New,6,69000,414000
YM21-0084411,06-01-2021,Januari,2021,Gear Rantai,Gear seat YGP 5TP JUP Z,1,179000,179000
YM21-0084411,06-01-2021,Januari,2021,Sakelar,Sakelar Lampu,1,10000,10000
YM21-0084411,06-01-2021,Januari,2021,Bearing,BRG AHM SET 6202 RS,2,45000,90000
YM21-0084413,07-01-2021,Januari,2021,Sakelar,Sakelar Klakson,1,8000,8000
YM21-0084415,07-01-2021,Januari,2021,Gasket,Gasket full seat AHM Supra Fit,1,67500,67500
YM21-0084415,07-01-2021,Januari,2021,Sensor,Sensor CKP KOJ Genio,1,173000,173000
YM21-0084416,07-01-2021,Januari,2021,Lampu,Indo Part Lampu dop rem,7,8000,56000
YM21-0084416,07-01-2021,Januari,2021,Ban,BL Maxxis 90/80-14 VICTRA,9,279500,2515500
YM21-0084416,07-01-2021,Januari,2021,V-Belt,V belt Only YGP B65 AEROX/NMX NEW,22,118500,2607000
YM21-0084416,07-01-2021,Januari,2021,Ban,BL AHM 80/90-17 KWW,17,189500,3221500
YM21-0084416,07-01-2021,Januari,2021,Oli,Castrol Pro 2T,36,34500,1242000
YM21-0084416,07-01-2021,Januari,2021,Filter Udara,Filter Udara AHM,7,59500,416500
YM21-0084420,07-01-2021,Januari,2021,Dinamo,Dinamo YGP Nmx old,1,198000,198000
YM21-0084422,07-01-2021,Januari,2021,Sakelar,Sakelar Retting,1,15000,15000
YM21-0084422,07-01-2021,Januari,2021,Roller,Kawahara Nmx,1,65000,65000
YM21-0084423,07-01-2021,Januari,2021,Seal,Seal Kopling,1,5000,5000
YM21-0084423,07-01-2021,Januari,2021,Oli,MOTUL MOTO 4 T,1,48500,48500
YM21-0084427,07-01-2021,Januari,2021,Lampu,Indo Part Lampu dop rem,1,8000,8000
YM21-0084430,08-01-2021,Januari,2021,Gear Rantai,Gear suprax 125 gear 39,3,238500,715500
YM21-0084430,08-01-2021,Januari,2021,Bearing,BRG AHM SET 6203 RS,5,48000,240000
YM21-0084430,08-01-2021,Januari,2021,Oli,Motul GP MTC 4T,10,63500,635000
YM21-0084430,08-01-2021,Januari,2021,Oli,MPX 2 0.8L,15,49000,735000
YM21-0084430,08-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,13,30500,396500
YM21-0084436,08-01-2021,Januari,2021,Gasket,Gasket full seat AHM Supra Fit,1,67500,67500
YM21-0084440,08-01-2021,Januari,2021,Gear Rantai,Gear seat AHM KEV Supra,12,197000,2364000
YM21-0084440,08-01-2021,Januari,2021,Rumah Roller,AHM K44 Scoopy,10,97000,970000
YM21-0084440,08-01-2021,Januari,2021,V-Belt,V belt Only YGP B65 AEROX/NMX NEW,13,121000,1573000
YM21-0084440,08-01-2021,Januari,2021,Roller,BRT VARIO 125,5,78000,390000
YM21-0084440,08-01-2021,Januari,2021,Gear Rantai,Gear seat YGP 5TP JUP Z,16,184000,2944000
YM21-0084443,08-01-2021,Januari,2021,Oli,MOTUL SCOOTER LE 1 LTR,1,73500,73500
YM21-0084449,09-01-2021,Januari,2021,Kaca Spion,Spion Indo KVY Beat,2,34500,69000
YM21-0084449,09-01-2021,Januari,2021,Gear Rantai,Gear seat YGP 5TP JUP Z,1,184500,184500
YM21-0084456,09-01-2021,Januari,2021,Sakelar,Sakelar Retting,1,15000,15000
YM21-0084464,09-01-2021,Januari,2021,Kampas Rem,DPAD YGP 3C1 NMX,2,55000,110000
YM21-0084464,09-01-2021,Januari,2021,Gear Rantai,Gear suprax 125 gear 39,1,241500,241500
YM21-0084464,09-01-2021,Januari,2021,Roller,BRT NMX,1,77000,77000
YM21-0084467,09-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,2,12000,24000
YM21-0084467,09-01-2021,Januari,2021,Kampas Rem,DPAD YGP 2BM,1,66000,66000
YM21-0084467,09-01-2021,Januari,2021,Radiator,Radiator YMMT Vario 125,1,115000,115000
YM21-0084474,09-01-2021,Januari,2021,Roller,Kawahara Nmx,15,64000,960000
YM21-0084475,09-01-2021,Januari,2021,Filter Udara,Filter Udara AHM,1,59500,59500
YM21-0084475,09-01-2021,Januari,2021,Lampu,Indo Part Lampu dop rem,1,8500,8500
YM21-0084480,10-01-2021,Januari,2021,Radiator,Radiator YMMT Vario 125,1,115500,115500
YM21-0084480,10-01-2021,Januari,2021,Hendel Rem,Hendel Rem Ori AHM,2,149000,298000
YM21-0084480,10-01-2021,Januari,2021,Roller,BRT NMX,1,78000,78000
YM21-0084484,10-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY BRT,6,197000,1182000
YM21-0084484,10-01-2021,Januari,2021,V-Belt,V Belt set AHM K35,16,169500,2712000
YM21-0084484,10-01-2021,Januari,2021,Ban,BL AHM 70/90-17 KWW,18,156500,2817000
YM21-0084484,10-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,16,156500,2504000
YM21-0084484,10-01-2021,Januari,2021,Bearing,BRG AHM SET 6201 RS,39,43500,1696500
YM21-0084484,10-01-2021,Januari,2021,Oli,Grand Manual 0.8 L,30,38000,1140000
YM21-0084484,10-01-2021,Januari,2021,Kampas Rem,Kampas Belakang Supra,28,39500,1106000
YM21-0084484,10-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,5,31000,155000
YM21-0084484,10-01-2021,Januari,2021,Busi,BUSI NGK BP7ES,20,168500,3370000
YM21-0084484,10-01-2021,Januari,2021,Kampas Rem,DPAD YGP 2BM,15,64500,967500
YM21-0084491,10-01-2021,Januari,2021,Kaca Spion,Spion Indo KVY Beat,2,35000,70000
YM21-0084492,10-01-2021,Januari,2021,Oli,Evalube Matic 0.8 L,15,39000,585000
YM21-0084492,10-01-2021,Januari,2021,Sakelar,Sakelar Lampu,34,10000,340000
YM21-0084492,10-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY MALOSSI,7,251500,1760500
YM21-0084492,10-01-2021,Januari,2021,Oli,MPX 2 0.8L,40,50000,2000000
YM21-0084492,10-01-2021,Januari,2021,Oli,Evalube 2T PRO 0.7,10,29500,295000
YM21-0084495,11-01-2021,Januari,2021,Kampas Rem,DPAD YGP 2BM,2,66000,132000
YM21-0084499,11-01-2021,Januari,2021,Gear Rantai,Gear Seat AHM KWB revo,1,183000,183000
YM21-0084499,11-01-2021,Januari,2021,Rumah Roller,AHM GMF Beat,1,69000,69000
YM21-0084499,11-01-2021,Januari,2021,Roller,BRT VARIO 110,1,74000,74000
YM21-0084499,11-01-2021,Januari,2021,Ban,BL AHM 80/90-17 KWW,2,185500,371000
YM21-0084500,11-01-2021,Januari,2021,Dinamo,Dinamo AHM KVB Vario,1,187500,187500
YM21-0084500,11-01-2021,Januari,2021,Kampas Rem,DPAD BLK SUPRA,1,46500,46500
YM21-0084500,11-01-2021,Januari,2021,Filter Udara,Filter Udara AHM,1,60000,60000
YM21-0084505,11-01-2021,Januari,2021,Piringan Cakram,Piringan DPN KC/YMMT NMX,2,97000,194000
YM21-0084505,11-01-2021,Januari,2021,Oli,Evalube 2T 0.7,1,23500,23500
YM21-0084506,11-01-2021,Januari,2021,Hendel Rem,Hendel Rem RCB kw,2,101000,202000
YM21-0084506,11-01-2021,Januari,2021,Rumah Roller,AHM KVB Vario,1,86500,86500
YM21-0084512,12-01-2021,Januari,2021,Filter Udara,Filter Udara BRT,1,70500,70500
YM21-0084512,12-01-2021,Januari,2021,Oli,Motul SC EXP LE 4T,1,106500,106500
YM21-0084512,12-01-2021,Januari,2021,Seal,Seal oring,1,8500,8500
YM21-0084519,12-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,8,156500,1252000
YM21-0084519,12-01-2021,Januari,2021,Busi,BUSI NGK BP7ES,8,172500,1380000
YM21-0084519,12-01-2021,Januari,2021,V-Belt,V Belt set AHM K35,17,171500,2915500
YM21-0084519,12-01-2021,Januari,2021,Ban,BL Maxxis 80/90-14 VICTRA,5,233000,1165000
YM21-0084519,12-01-2021,Januari,2021,Oli,Grand Manual 0.8 L,8,37500,300000
YM21-0084519,12-01-2021,Januari,2021,Oli,MOTUL MOTO 4 T,5,47000,235000
YM21-0084520,12-01-2021,Januari,2021,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,1,158000,158000
YM21-0084520,12-01-2021,Januari,2021,Piringan Cakram,Piringan DPN KC/YMMT NMX,1,98000,98000
YM21-0084523,12-01-2021,Januari,2021,V-Belt,V belt Only YGP B65 AEROX/NMX NEW,1,121500,121500
YM21-0084523,12-01-2021,Januari,2021,Seal,Seal Pulau,1,7000,7000
YM21-0084523,12-01-2021,Januari,2021,Busi,BUSI NGK BP7ES,1,167500,167500
YM21-0084523,12-01-2021,Januari,2021,Sensor,Sensor CKP KOJ Genio,1,172500,172500
YM21-0084531,12-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,23,31000,713000
YM21-0084531,12-01-2021,Januari,2021,Ban,BL Maxxis 100/80-14 VICTRA,6,353000,2118000
YM21-0084531,12-01-2021,Januari,2021,Roller,BRT Mio,12,70500,846000
YM21-0084533,12-01-2021,Januari,2021,Filter Udara,Filter Udara YGP,1,69500,69500
YM21-0084533,12-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14500,14500
YM21-0084533,12-01-2021,Januari,2021,Oli,Evalube Matic 0.8 L,1,40000,40000
YM21-0084533,12-01-2021,Januari,2021,Ban,BL IRC MB86 100/90-12,1,226500,226500
YM21-0084536,13-01-2021,Januari,2021,Roller,BRT VARIO 110,13,73000,949000
YM21-0084537,13-01-2021,Januari,2021,V-Belt,V belt kit AHM KZR VARIO 125,1,167500,167500
YM21-0084537,13-01-2021,Januari,2021,Ban,FDR TR TL Flemino 90/90-14,1,229500,229500
YM21-0084543,13-01-2021,Januari,2021,Roller,BRT VARIO 110,17,71000,1207000
YM21-0084547,13-01-2021,Januari,2021,Seal,Seal oring,1,8000,8000
YM21-0084547,13-01-2021,Januari,2021,Oli,Mesran Super 4T 0.8 L,1,33500,33500
YM21-0084555,13-01-2021,Januari,2021,Seal,Seal Pulau,2,7000,14000
YM21-0084555,13-01-2021,Januari,2021,Oli,MOTUL SCOOTER POWER LE,1,129000,129000
YM21-0084558,13-01-2021,Januari,2021,Sakelar,Sakelar Retting,2,15500,31000
YM21-0084563,13-01-2021,Januari,2021,Gasket,Gasket Cylinder Nmx,15,13000,195000
YM21-0084563,13-01-2021,Januari,2021,Bearing,BRG AHM SET 6301 RS,9,50500,454500
YM21-0084563,13-01-2021,Januari,2021,V-Belt,V Belt set AHM KVB,12,147500,1770000
YM21-0084563,13-01-2021,Januari,2021,Bearing,BRG AHM SET 6204 RS,9,49500,445500
YM21-0084563,13-01-2021,Januari,2021,Gasket,Gasket Cylinder head Nmx,21,31000,651000
YM21-0084563,13-01-2021,Januari,2021,Aki,Aki Basah Yuasa YB5L-B,2,247000,494000
YM21-0084563,13-01-2021,Januari,2021,Ban,BL IRC MB67 110/90-12,7,272000,1904000
YM21-0084564,13-01-2021,Januari,2021,Kampas Rem,DPAD YGP 3C1 NMX,2,54500,109000
YM21-0084564,13-01-2021,Januari,2021,Oli,MOTUL SCOOTER LE 1 LTR,1,71500,71500
YM21-0084567,15-01-2021,Januari,2021,Kaca Spion,Spion Beat FI,1,50500,50500
YM21-0084569,15-01-2021,Januari,2021,Lampu,SGP Lampu Kepala depan,1,25000,25000
YM21-0084571,15-01-2021,Januari,2021,Busi,BUSI AHM U22FER9,1,28500,28500
YM21-0084571,15-01-2021,Januari,2021,V-Belt,V Belt kit AHM K16,1,148000,148000
YM21-0084571,15-01-2021,Januari,2021,Sakelar,Sakelar Klakson,1,8000,8000
YM21-0084577,15-01-2021,Januari,2021,Hendel Rem,Hendel Rem Ori AHM,1,148500,148500
YM21-0084577,15-01-2021,Januari,2021,Aki,Aki Kering GS ASTRA GTZ7V,1,310000,310000
YM21-0084580,15-01-2021,Januari,2021,Seal,Seal Water Pump,1,14500,14500
YM21-0084580,15-01-2021,Januari,2021,Kampas Rem,DPAD BLK SUPRA,2,46500,93000
YM21-0084580,15-01-2021,Januari,2021,Bearing,BRG AHM SET 6202 RS,2,45000,90000
YM21-0084580,15-01-2021,Januari,2021,Filter Udara,Filter Udara AHM,1,59000,59000
YM21-0084585,15-01-2021,Januari,2021,Lampu,Indo Part Lampu dop rem,1,8000,8000
YM21-0084586,15-01-2021,Januari,2021,Gasket,Gasket full seat AHM Supra Fit,2,66500,133000
YM21-0084586,15-01-2021,Januari,2021,Rumah Roller,AHM KVB Vario,1,84000,84000
YM21-0084586,15-01-2021,Januari,2021,V-Belt,V belt kit AHM KZR VARIO 125,1,170000,170000
YM21-0084591,15-01-2021,Januari,2021,Kampas Rem,DPAD BLK SUPRA,1,47000,47000
YM21-0084591,15-01-2021,Januari,2021,Sakelar,Sakelar Lampu,1,10500,10500
YM21-0084591,15-01-2021,Januari,2021,Sensor,Sensor TPS KOJ,1,199000,199000
YM21-0084599,15-01-2021,Januari,2021,Seal,Seal Pulau,17,7500,127500
YM21-0084599,15-01-2021,Januari,2021,Sakelar,Sakelar Lampu,8,10000,80000
YM21-0084604,15-01-2021,Januari,2021,Kaca Spion,Spion Vario WIN,5,43500,217500
YM21-0084604,15-01-2021,Januari,2021,Gear Rantai,Gear suprax 125 gear 39,3,239500,718500
YM21-0084604,15-01-2021,Januari,2021,Kampas Rem,Kampas Depan Supra X,6,49500,297000
YM21-0084605,15-01-2021,Januari,2021,Oli,Evalube 2T PRO 0.7,27,30500,823500
YM21-0084605,15-01-2021,Januari,2021,Oli,MOTUL SCOOTER POWER LE,11,128500,1413500
YM21-0084605,15-01-2021,Januari,2021,Seal,Seal oring,7,8500,59500
YM21-0084605,15-01-2021,Januari,2021,Oli,Yamalube Super Matic 1 L,12,62000,744000
YM21-0084605,15-01-2021,Januari,2021,Roller,BRT VARIO 125,21,77500,1627500
YM21-0084605,15-01-2021,Januari,2021,Filter Udara,Filter Udara YGP,20,69000,1380000
YM21-0084605,15-01-2021,Januari,2021,Oli,Motul SC EXP LE 4T,8,105500,844000
YM21-0084605,15-01-2021,Januari,2021,Oli,Mesran 40 1 LTR,13,41000,533000
YM21-0084611,16-01-2021,Januari,2021,Ban,FDR TR TL 90/80-17 Sport Evo,3,302000,906000
YM21-0084611,16-01-2021,Januari,2021,Kampas Rem,Kampas Depan Supra X,22,49500,1089000
YM21-0084615,16-01-2021,Januari,2021,Lampu,SGP Lampu Kepala depan,1,25500,25500
YM21-0084619,16-01-2021,Januari,2021,Shockbreaker,Shock AHM KVY Beat,2,211000,422000
YM21-0084619,16-01-2021,Januari,2021,Roller,BRT NMX,1,77000,77000
YM21-0084620,16-01-2021,Januari,2021,Kampas Rem,DPAD YGP 3C1 NMX,2,55000,110000
YM21-0084620,16-01-2021,Januari,2021,Bearing,BRG AHM SET 6202 RS,2,45500,91000
YM21-0084623,17-01-2021,Januari,2021,Lampu,AHM Lampu Kepala,1,30000,30000
YM21-0084623,17-01-2021,Januari,2021,Shockbreaker,Shock AHM KZR Vario 125,1,212000,212000
YM21-0084623,17-01-2021,Januari,2021,Filter Udara,Filter Udara BRT,1,69000,69000
YM21-0084625,17-01-2021,Januari,2021,Seal,Seal Crankshaf,2,10000,20000
YM21-0084630,17-01-2021,Januari,2021,Sakelar,Sakelar Retting,35,14500,507500
YM21-0084630,17-01-2021,Januari,2021,Sakelar,Sakelar Lampu,8,10000,80000
YM21-0084635,17-01-2021,Januari,2021,Seal,Seal Water Pump,2,15000,30000
YM21-0084635,17-01-2021,Januari,2021,Rumah Roller,AHM KOJ Scoopy New,1,75000,75000
YM21-0084635,17-01-2021,Januari,2021,Bearing,BRG AHM SET 6203 RS,2,47000,94000
YM21-0084635,17-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14000,14000
YM21-0084643,17-01-2021,Januari,2021,Seal,Seal Pulau,2,7500,15000
YM21-0084651,17-01-2021,Januari,2021,Ban,FDR TR TL 140/70-13 Blaze Mp,6,467500,2805000
YM21-0084651,17-01-2021,Januari,2021,Gasket,Gasket Cylinder Nmx,12,13500,162000
YM21-0084651,17-01-2021,Januari,2021,Bearing,BRG AHM SET 6302 RS,10,51500,515000
YM21-0084651,17-01-2021,Januari,2021,Seal,Seal oring,28,8000,224000
YM21-0084651,17-01-2021,Januari,2021,Oli,MOTUL SCOOTER POWER LE,20,126500,2530000
YM21-0084651,17-01-2021,Januari,2021,Bearing,BRG AHM SET 6301 RS,11,50500,555500
YM21-0084651,17-01-2021,Januari,2021,Oli,Mesrania 2T super 1 L,34,44500,1513000
YM21-0084654,17-01-2021,Januari,2021,Kaca Spion,Spion Vario WIN,1,45000,45000
YM21-0084662,17-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14500,14500
YM21-0084662,17-01-2021,Januari,2021,Seal,Seal Crankshaf,2,10500,21000
YM21-0084662,17-01-2021,Januari,2021,Oli,MOTUL SCOOTER POWER LE,1,126000,126000
YM21-0084668,17-01-2021,Januari,2021,Rumah Roller,AHM K44 Scoopy,1,95500,95500
YM21-0084668,17-01-2021,Januari,2021,Kampas Rem,DPAD BLK SUPRA,1,47500,47500
YM21-0084673,17-01-2021,Januari,2021,Sakelar,Sakelar Retting,17,14500,246500
YM21-0084673,17-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,15,14500,217500
YM21-0084681,18-01-2021,Januari,2021,Sakelar,Sakelar Lampu,8,10500,84000
YM21-0084681,18-01-2021,Januari,2021,Seal,Seal Pulau,11,7500,82500
YM21-0084681,18-01-2021,Januari,2021,Oli,Mesran Super 4T 0.8 L,38,33000,1254000
YM21-0084681,18-01-2021,Januari,2021,Bearing,BRG AHM SET 6303 RS,14,55500,777000
YM21-0084681,18-01-2021,Januari,2021,V-Belt,V Belt set AHM K35,16,170000,2720000
YM21-0084681,18-01-2021,Januari,2021,Ban,FDR TR TL Flemino 90/90-14,3,227000,681000
YM21-0084681,18-01-2021,Januari,2021,Oli,Motul SC EXP LE 4T,12,106500,1278000
YM21-0084681,18-01-2021,Januari,2021,Seal,Seal oring,13,8000,104000
YM21-0084683,18-01-2021,Januari,2021,Ban,BL Maxxis 100/80-14 VICTRA,1,351000,351000
YM21-0084689,18-01-2021,Januari,2021,Kaca Spion,Spion Indo KVY Beat,1,35000,35000
YM21-0084689,18-01-2021,Januari,2021,Shockbreaker,Shock AHM KZR Vario 125,1,207000,207000
YM21-0084689,18-01-2021,Januari,2021,Seal,Seal oring,2,8000,16000
YM21-0084697,18-01-2021,Januari,2021,Busi,BUSI YGP U22FSU,1,14500,14500
YM21-0084697,18-01-2021,Januari,2021,Sakelar,Sakelar Indling stop,2,12000,24000
YM21-0084698,18-01-2021,Januari,2021,Lampu,Indo Part Lampu dop rem,1,8000,8000
YM21-0084698,18-01-2021,Januari,2021,Oli,Mesran 40 1 LTR,1,40500,40500
YM21-0084698,18-01-2021,Januari,2021,Seal,Seal Water Pump,1,14500,14500
YM21-0084702,18-01-2021,Januari,2021,Seal,Seal Water Pump,1,14500,14500
YM21-0084702,18-01-2021,Januari,2021,Oli,Yamalube Super Matic 1 L,1,61500,61500
YM21-0084708,18-01-2021,Januari,2021,Sakelar,Sakelar Klakson,1,8000,8000
